AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
HE1228+0131,1854,NGC4536,10,"('187.70833', '1.25583')","(188.61271, 2.18814)",0.043267415930955226,0.0429371510021735,197.62313832387832,197.37836507581068,347.2467113272344,x,2102.6,1808.0,-46.0,15.321,x,33.9,14.3,65.1,x,85.9,NGC4536,.SXT4..,64.7,130.0,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031
HE1228+0131,1854,NGC4527,10,"('187.70833', '1.25583')","(188.53509, 2.65366)",0.007894025672354197,0.0086758681929173,199.62977872021068,201.76120538894486,423.1750641228535,x,2031.0,1736.0,-118.0,14.932,x,34.4,11.7,70.1,70.0,39.4,NGC4527,.SXS4..,70.2,67.0,SAB(s)bc;HII   LINER,SAB(s)bc;HII   LINER,0.005791
HE1228+0131,1854,NGC4517A,10,"('187.70833', '1.25583')","(188.11732, 0.38967)",0.00028205400302125345,2.063202134575544e-05,166.30553723674035,135.64565603070375,379.15426800920557,x,1801.8,1509.0,-345.0,22.68,x,26.4,17.2,49.5,x,55.3,NGC4517A,.SBT8*.,48.6,30.0,SB(rs)dm:      HII,SB(rs)dm:      HII,0.005032
HE1228+0131,1854,UGC07625,10,"('187.70833', '1.25583')","(187.38654, 0.83964)",2.7920644202228214e-08,2.2974029898276053e-42,88.0279557279243,34.02388866664127,326.81852463937213,x,2527.3,2234.0,380.0,35.59613696,x,10.5,1.3,82.6,x,x,0,x,x,x,Sd(f),Sd(f),0.007452
HE1228+0131,1854,IC3474,10,"('187.70833', '1.25583')","(188.15215, 2.66152)",7.42939868664478e-10,7.467826193230714e-40,105.76383533587814,50.708510133901584,480.23281556775873,x,2022.1,1727.0,-127.0,18.667,x,13.7,1.4,84.3,x,18.5,IC3474,.S..7./,82.8,36.0,Sd(f)          HII,Sd(f)          HII,0.005761
HE1228+0131,1854,CGCG014-064,10,"('187.70833', '1.25583')","(188.33653, 1.52174)",5.6622701585153276e-12,7.448306347054532e-147,65.22756252504672,17.732230542151203,324.7269624539369,x,1937.0,1643.0,-211.0,27.28115478,x,6.8,2.7,66.4,179.0,68.1,CGCG14-64,.S..7?/,-99,-99,Sd? sp,Sd? sp,0.00548
HE1228+0131,1854,2dFGRSN389Z231,10,"('187.70833', '1.25583')","(188.19354, 1.56867)",5.957178879368907e-19,0.0,41.24838512685209,6.547900426854397,258.6635377099614,x,1823.0,1529.0,-325.0,25.67647003,x,3.5,1.6,63.5,x,x,0,x,x,x,x,x,0.0051
HE1228+0131,1854,UGC07512,10,"('187.70833', '1.25583')","(186.42223, 2.15898)",7.571179836506335e-23,0.0,59.83073840715335,14.696938456699069,414.0446321716584,x,1799.7,1505.0,-349.0,15.1,x,6.0,2.7,63.3,130.0,4.9,UGC7512,.IBS9..,63.5,130.0,ImIV,ImIV,0.00502
HE1228+0131,1854,2dFGRSN321Z040,10,"('187.70833', '1.25583')","(188.11533, 0.36881)",8.604839268512818e-50,0.0,40.43155575527607,6.269290230959163,422.64284142523985,x,1761.7,1469.0,-385.0,24.81319044,x,3.4,1.9,56.4,x,x,0,x,x,x,x,x,0.0049
HE1228+0131,1854,SDSSJ122950.58+020153.7,10,"('187.70833', '1.25583')","(187.46075, 2.03158)",5.1570727621055606e-51,0.0,38.77514986628247,5.7243340223994625,417.05525498354257,x,2083.6,1789.0,-65.0,29.34599276,x,3.2,1.8,56.5,x,x,0,x,x,x,x,x,0.005966
